id,old_id,duration,point_num,vel_change_mean,angle_change_mean,logcr_change_mean,max_ditance_x,max_ditance_y,endpts_num,vel_change_mean_x,vel_change_mean_y,intersection_num,vel_change_num,total_num_crossx,total_num_crossy,total_num_cross_ax,total_num_cross_ay,x_axis_intersections,y_axis_intersections,FRR,FAR,accuracy,FAR_class
41,60,1557,152,17.510345527757657,0.02429513665796972,0.04072291646164321,17774,13975,1,15.512457004210368,21.520328266609567,10,28,15,14,17,17,12,5,0.0,0.0,100.0,0
42,61,3947,286,5.08790545898616,0.022206299417140134,0.024841496912669497,15242,12890,5,5.000163556005969,7.526136587562982,11,50,31,24,39,33,12,10,0.0,0.0,100.0,0
43,62,2073,154,5.0418206158160075,0.020420996317339294,0.03387397330012985,6752,10963,3,3.279600686069572,7.498180843651174,6,26,10,12,15,16,4,39,0.0,0.0,100.0,0
44,63,3109,212,5.018563742084804,0.017579334543921733,0.030994184508823932,18270,10240,3,5.3524202137164485,4.27286908973947,13,35,12,16,25,25,6,38,0.0,10.0,96.29629629629629,0
45,64,3281,224,7.758230358410526,0.024956330774743563,0.02367903032365873,21050,12890,4,7.299433438314874,8.948851298723282,6,43,24,24,30,28,8,196,35.294117647058826,30.0,66.66666666666666,1
46,65,2182,208,5.584578912883272,0.030556754971221498,0.04481759647780715,17327,13734,0,2.855611569406252,9.228738669925653,6,38,6,15,22,23,4,8,0.0,0.0,100.0,0
47,66,2031,123,4.4916811718994785,0.01758583612405761,0.029371743381484454,12014,5060,1,5.25328026697303,3.0507051808085786,7,21,7,13,14,15,8,5,17.647058823529413,0.0,88.88888888888889,0
48,67,3031,225,4.7852554932346925,0.01661024148665173,0.029635590669924976,26115,11083,5,6.637177682466362,4.843863411415373,5,37,19,10,29,24,6,3,0.0,0.0,100.0,0
49,69,1641,141,9.92769611730329,0.028693839060324165,0.04539977924865022,13604,13613,1,3.229356083688808,13.286099261967633,5,27,9,12,16,12,8,5,5.88235294117647,10.0,92.5925925925926,0
50,70,1797,147,4.380445470982557,0.02819296461747223,0.031020983130848896,9780,8432,2,2.274493909602423,7.489545538861064,5,22,9,15,21,19,10,15,0.0,0.0,100.0,0
51,71,1422,105,12.224846471544438,0.0101686804441935,0.03547524788482356,20604,15420,2,9.93769885919675,11.628143459915615,1,19,8,7,13,11,6,47,0.0,0.0,100.0,0
52,72,2385,214,8.247960534325138,0.0186622344008314,0.03656487511616183,26908,10842,2,9.687114372233873,8.396280922431872,6,39,23,18,25,21,14,5,0.0,0.0,100.0,0
53,73,2291,183,6.861629584526961,0.013924414487555102,0.03032842136326075,19809,7710,2,9.848179349143992,5.068570250739609,10,34,18,10,17,17,8,4,0.0,10.0,96.29629629629629,0
54,74,1641,128,11.088399681608903,0.011577459727363518,0.040100423684939074,21199,7349,2,13.899081860654068,3.842059042589209,3,23,10,5,11,14,6,2,0.0,0.0,100.0,0
55,75,1547,139,7.7210549225923515,0.020622138930559048,0.03944331727053243,14298,12529,1,9.420228399051927,8.596291029232201,4,26,14,13,18,15,4,2,0.0,0.0,100.0,0
56,76,3557,307,7.615564568734316,0.020257443767543633,0.03555191922182378,16383,13372,2,4.779576734451632,10.888692718583073,14,57,28,30,35,38,6,111,0.0,0.0,100.0,0
57,77,3323,211,6.319919432065878,0.01939130491640916,0.03129279758314917,11170,12168,8,2.8302290433677735,9.608269635871201,7,36,20,23,37,29,0,6,0.0,0.0,100.0,0
58,78,2854,221,8.462300057575257,0.020690677423568626,0.046383285484150286,22838,12288,3,7.050140932803864,9.442741181966829,1,40,14,20,28,26,8,9,47.05882352941176,0.0,70.37037037037037,0
59,79,2313,200,8.397101591178007,0.014038782059281822,0.03969294916372295,13901,10481,2,8.370172455204882,7.316635922563288,4,34,21,15,27,26,8,58,5.88235294117647,0.0,96.29629629629629,0
60,80,3859,173,5.545501335679385,0.014404224287815792,0.018176238033234864,16185,10721,4,4.396297831908093,5.970769053583252,6,29,18,15,21,21,6,2,58.82352941176471,0.0,62.96296296296296,0
61,81,2625,245,8.98888716303452,0.024240559329004437,0.03861270142809078,22043,13854,1,7.481271534391536,11.716756402116408,8,46,13,18,25,24,6,18,0.0,0.0,100.0,0
62,82,1110,102,17.347912552798263,0.02295316075844882,0.04684282907078908,10873,16986,1,8.435346346346346,21.143178178178182,5,19,7,10,11,12,4,3,0.0,0.0,100.0,0
63,83,3437,305,8.157605910915972,0.02754315316164201,0.04385592041576265,17426,16745,1,5.024047134128601,11.131977823036879,14,57,28,28,36,37,2,122,0.0,0.0,100.0,0
64,84,3421,213,6.866149394326336,0.01279674495982882,0.02966835819173611,13355,10963,4,5.253354769560556,9.385313261229669,4,37,22,21,25,27,4,21,0.0,0.0,100.0,0
65,85,1453,126,13.342630748870542,0.030235178344703184,0.03826225401726503,18568,15420,2,7.574757972011925,16.14830389233005,5,24,10,8,9,12,2,4,0.0,0.0,100.0,0
66,86,1656,155,4.913715208288719,0.018343279730034592,0.03909557502897223,23880,6144,0,5.541615673644657,4.434216988727857,3,24,6,10,15,17,4,4,0.0,20.0,92.5925925925926,1
67,87,1047,106,16.146642771856378,0.025103745319630583,0.04096147459270899,19512,15058,0,21.44135413350314,17.680169797304472,5,20,9,8,10,11,4,3,0.0,20.0,92.5925925925926,1
68,88,1557,147,12.536667846374156,0.018336088846623737,0.04694830996657181,22291,12890,1,11.118913152073079,14.328181688432169,2,26,15,15,15,16,8,3,58.82352941176471,0.0,62.96296296296296,0
69,89,3000,277,11.657184042106998,0.024912186409189383,0.03769924682078483,30831,15661,1,15.897517777777773,9.52300740740741,12,52,26,21,34,35,22,5,0.0,0.0,100.0,0
